penalty,rank,params,cv_mean_test_score,cv_std_test_score,cv_mean_train_score,cv_std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score
no_penalty,1,{},0.3178800050544051,0.0004757373096338383,0,0,300.24706387519836,0,0.3172136557268855,0.3182936341273174,0.3181327253090124
l1_lasso,1,{'clf__C': 0.1},0.3179400014543811,0.0007121964946872201,0.34199002216817626,0.001696613873128315,675.7666996320089,30.11717292476023,0.3170336593268135,0.31877362452750946,0.31801272050882035
l1_lasso,2,{'clf__C': 10},0.31788000385438114,0.00048493468967521545,0.3444400226686613,0.0017736833319129826,729.8585039774576,16.77193592136001,0.3172136557268855,0.3183536329273415,0.31807272290891636
l1_lasso,3,{'clf__C': 1},0.3178000066543731,0.0005434530815631264,0.3445700206687073,0.0016584298595285483,755.6170004208883,13.590462938226372,0.3170336593268135,0.31823363532729343,0.3181327253090124
l2_ridge,1,{'clf__C': 10},0.3178800050544051,0.0004757373096338383,0.34444002236866433,0.0017598714793977193,413.78213906288147,9.279889249256467,0.3172136557268855,0.3182936341273174,0.3181327253090124
l2_ridge,2,{'clf__C': 1},0.3178600042543731,0.0004658506597919635,0.3444400226686613,0.0017736833319129826,412.06697909037274,8.290033081332323,0.3172136557268855,0.3182936341273174,0.31807272290891636
l2_ridge,3,{'clf__C': 0.1},0.31784000465436507,0.00044774094877368014,0.3444600225686663,0.0017833917606691217,414.6406602859497,8.959087255942347,0.3172136557268855,0.31823363532729343,0.31807272290891636
elasticnet,1,"{'clf__C': 10, 'clf__l1_ratio': 0.5}",0.3178800050544051,0.0004757373096338383,0.3444600225686663,0.0017725928477828723,743.6166683038076,20.40789804506659,0.3172136557268855,0.3182936341273174,0.3181327253090124
elasticnet,2,"{'clf__C': 1, 'clf__l1_ratio': 0.5}",0.3178400058543891,0.0004432112315158289,0.3444700223686703,0.001719170187637546,779.1940833727518,15.212780056521787,0.3172136557268855,0.31817363652726943,0.3181327253090124
elasticnet,3,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.3177000014541891,0.000907750228506793,0.3436300169685564,0.0014006498351528099,763.7204995950063,13.863441767959054,0.31655366892662146,0.31877362452750946,0.31777271090843634
