rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score,max_depth,n_estimators
1,0.6463820665504647,0.003954153913399783,0.825562991036317,0.005874705496493115,3.7916740576426187,0.1589095332596559,0.6497322111706197,0.6485845447589901,0.6408294437217844,15,90
2,0.6363588380656461,0.004467810709316109,0.8165217246986295,0.006698442110265473,3.9730642636617026,0.27260499762058354,0.6395562356541699,0.6394797245600612,0.6300405539827072,15,60
3,0.6109566045084036,0.0017769077866190027,0.7974061663881008,0.0065673092355978315,2.1802914142608643,0.249598794991057,0.6124713083397093,0.6119357306809488,0.6084627745045528,15,30
4,0.42375486327069184,0.004721045199891849,0.5186180635007639,0.006510917169843166,4.52529772122701,0.20265945868039603,0.4172149961744453,0.42586074980872224,0.4281888438289081,10,90
5,0.4176592999052427,0.0025062373032877596,0.5108392541204024,0.005211860736602588,2.9989293416341147,0.14388418364195085,0.4153787299158378,0.41644988523335885,0.4211492845665315,10,60
6,0.40784014198548196,0.004206718285396327,0.4980360425531529,0.006888717029646114,1.5014746983846028,0.21314613583727873,0.4020657995409334,0.4094873756694721,0.41196725074604024,10,30
7,0.20089786130933282,0.0030016662201214593,0.21427475952795436,0.0020635644919354944,2.593864679336548,0.20177096389255725,0.198699311400153,0.19885233358837032,0.2051419389394751,5,90
8,0.20031127820596498,0.0035372891929903497,0.21552446122132907,0.001982077164028513,1.9868137041727703,0.026468406280497542,0.198699311400153,0.19701606732976282,0.20521845588797918,5,60
9,0.1999798120930305,0.0063121559374843695,0.215027100081813,0.003629560130426032,1.2161920070648193,0.0555806914324236,0.19326702371843918,0.19824024483550115,0.2084321677251511,5,30
